Place of Interest,Place address,Bicimad station,Station Location,Station Distance,Bikes Available,Bases Available,Type of place
Centro de acogida 'Juan Luis Vives',Calle Alcalde Juan De Mata Sevillano 18,Pavones,Calle Hacienda de Pavones nº 342,5.59 km,2,20,Instalaciones accesibles municipales
Departamento de Protección a la Infancia y Adolescencia,Paseo Chopera 41 Planta Baja,Entrada Matadero,Paseo de la Chopera nº 14,0.25 km,35,8,Instalaciones accesibles municipales
Grupo Municipal Más Madrid,Calle Mayor 71 Planta 1ª Y 2ª,Plaza Ramales,Plaza de Ramales,0.21 km,16,8,Instalaciones accesibles municipales
Grupo Municipal Socialista de Madrid,Calle Mayor 71 Planta 3ª Y 4ª,Plaza Ramales,Plaza de Ramales,0.21 km,16,8,Instalaciones accesibles municipales
Grupo Municipal del Partido Popular,Plaza Villa 5,Plaza del Cordón,Plaza del Cordón,0.14 km,10,14,Instalaciones accesibles municipales
Área de Gobierno de Políticas de Vivienda,Calle Ribera Del Sena 21,Carlota O’Neill,Calle Carlota O'Neill nº 32,4.39 km,9,15,Instalaciones accesibles municipales
Agencia de Actividades,Calle Bustamante 16,Juan Martín,Calle Juan Martín el Empecinado nº 16,0.05 km,4,19,Instalaciones accesibles municipales
Agencia de Zona de Arganzuela,Calle Ancora 41,Juan Martín,Calle Juan Martín el Empecinado nº 16,0.35 km,4,19,Instalaciones accesibles municipales
Agencia de Zona de Barajas,Avenida Cantabria 6,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6.97 km,3,20,Instalaciones accesibles municipales
Agencia de Zona de Latina-Carabanchel,Calle Alhambra 89,Caramuel,Calle Caramuel nº 51,2.52 km,25,1,Instalaciones accesibles municipales
Agencia de Zona de Puente de Vallecas,Plaza Sierra Ministra 3,Concordia,Calle Arroyo del Olivar nº 6,0.36 km,22,2,Instalaciones accesibles municipales
Agencia de Zona de Puente de Vallecas (Casa del Empleo),Plaza Sierra Ministra 3,Concordia,Calle Arroyo del Olivar nº 6,0.36 km,22,2,Instalaciones accesibles municipales
Agencia de Zona de Retiro,Avenida Ciudad De Barcelona 164,Junta Municipal Retiro,Calle León Gil de Palacio nº 3,0.19 km,6,18,Instalaciones accesibles municipales
Agencia de Zona de Tetuán,Calle Juan Pantoja 2,Cuatro Caminos 2,Calle Doctor Santero nº 1,0.35 km,6,16,Instalaciones accesibles municipales
Agencia de Zona de Vicálvaro,Avenida Daroca 327,Pavones,Calle Hacienda de Pavones nº 342,2.85 km,2,20,Instalaciones accesibles municipales
Agencia de Zona de Villaverde,Avenida Orovilla 54,Embajadores 191,Calle Sodio nº 1B,4.49 km,21,2,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Arganzuela,Paseo Chopera 2,Puente Praga,Paseo de la Esperanza nº 59,0.31 km,19,5,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Barajas,Calle Trespaderne 16,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,7.46 km,3,20,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Carabanchel,Calle Albox 8,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4.68 km,1,11,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Centro- Sur,Calle Montera 16,Plaza del Carmen ,Plaza del Carmen nº 1,0.11 km,7,16,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Chamartín,Calle Comandante Azcarraga 4,Pío XII,Avenida Pío XII nº 3,0.94 km,2,21,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Chamberí,Calle Raimundo Fernandez Villaverde 8,Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168,0.11 km,3,24,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Ciudad Lineal,Calle Peloponeso 9,Pavones,Calle Hacienda de Pavones nº 342,2.5 km,2,20,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Fuencarral - El Pardo,Avenida Soto Palacios 7,Pedro Rico,Calle Pedro Rico nº 4,1.13 km,1,22,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Hortaleza,Calle Javier Del Quinto 2,Carlota O’Neill,Calle Carlota O'Neill nº 32,3.22 km,9,15,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Latina,Calle Rodrigo De Arana 50,Caramuel,Calle Caramuel nº 51,5.99 km,25,1,Instalaciones accesibles municipales
