Place of Interest,Place address,Bicipark station,Station Location,Station Distance,Type of place
Centro de acogida 'Juan Luis Vives',Calle Alcalde Juan De Mata Sevillano 18,Bicipark Salamanca,Pl. del Marqués de Salamanca,11.51 km,Instalaciones accesibles municipales
Departamento de Protección a la Infancia y Adolescencia,Paseo Chopera 41 Planta Baja,Bicipark Canalejas,-,3.46 km,Instalaciones accesibles municipales
Grupo Municipal Más Madrid,Calle Mayor 71 Planta 1ª Y 2ª,Bicipark Canalejas,-,1.4 km,Instalaciones accesibles municipales
Grupo Municipal Socialista de Madrid,Calle Mayor 71 Planta 3ª Y 4ª,Bicipark Canalejas,-,1.4 km,Instalaciones accesibles municipales
Grupo Municipal del Partido Popular,Plaza Villa 5,Bicipark Canalejas,-,1.3 km,Instalaciones accesibles municipales
Área de Gobierno de Políticas de Vivienda,Calle Ribera Del Sena 21,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,6.05 km,Instalaciones accesibles municipales
Agencia de Actividades,Calle Bustamante 16,Bicipark Montalban,"Calle de Montalbán, 5",2.6 km,Instalaciones accesibles municipales
Agencia de Zona de Arganzuela,Calle Ancora 41,Bicipark Montalban,"Calle de Montalbán, 5",2.22 km,Instalaciones accesibles municipales
Agencia de Zona de Barajas,Avenida Cantabria 6,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9.48 km,Instalaciones accesibles municipales
Agencia de Zona de Latina-Carabanchel,Calle Alhambra 89,Bicipark Aviación,Parking Aviación Española,4.84 km,Instalaciones accesibles municipales
Agencia de Zona de Puente de Vallecas,Plaza Sierra Ministra 3,Bicipark Montalban,"Calle de Montalbán, 5",4.76 km,Instalaciones accesibles municipales
Agencia de Zona de Puente de Vallecas (Casa del Empleo),Plaza Sierra Ministra 3,Bicipark Montalban,"Calle de Montalbán, 5",4.76 km,Instalaciones accesibles municipales
Agencia de Zona de Retiro,Avenida Ciudad De Barcelona 164,Bicipark Montalban,"Calle de Montalbán, 5",2.75 km,Instalaciones accesibles municipales
Agencia de Zona de Tetuán,Calle Juan Pantoja 2,Bicipark Orense,"Avenida General Perón, 27",1.19 km,Instalaciones accesibles municipales
Agencia de Zona de Vicálvaro,Avenida Daroca 327,Bicipark Salamanca,Pl. del Marqués de Salamanca,8.68 km,Instalaciones accesibles municipales
Agencia de Zona de Villaverde,Avenida Orovilla 54,Bicipark Montalban,"Calle de Montalbán, 5",8.71 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Arganzuela,Paseo Chopera 2,Bicipark Canalejas,-,3.2 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Barajas,Calle Trespaderne 16,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10.26 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Carabanchel,Calle Albox 8,Bicipark Aviación,Parking Aviación Española,4.53 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Centro- Sur,Calle Montera 16,Bicipark Canalejas,-,0.35 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Chamartín,Calle Comandante Azcarraga 4,Bicipark Recuerdo,"Calle Hiedra, 26",1.99 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Chamberí,Calle Raimundo Fernandez Villaverde 8,Bicipark Orense,"Avenida General Perón, 27",1.36 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Ciudad Lineal,Calle Peloponeso 9,Bicipark Salamanca,Pl. del Marqués de Salamanca,6.48 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Fuencarral - El Pardo,Avenida Soto Palacios 7,Bicipark Recuerdo,"Calle Hiedra, 26",2.35 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Hortaleza,Calle Javier Del Quinto 2,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,3.68 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Latina,Calle Rodrigo De Arana 50,Bicipark Aviación,Parking Aviación Española,2.05 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Moratalaz,Calle Fuente Carrantona 8,Bicipark Salamanca,Pl. del Marqués de Salamanca,6.62 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Puente de Vallecas,Calle Puerto De Cardoso 7,Bicipark Montalban,"Calle de Montalbán, 5",6.06 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Retiro,Calle Hoyuelo 7,Bicipark Montalban,"Calle de Montalbán, 5",2.99 km,Instalaciones accesibles municipales
Agente Tutor. Policía Municipal. Comisaría Integral de Distrito Salamanca,Calle Pedro Heredia 34,Bicipark Salamanca,Pl. del Marqués de Salamanca,1.87 km,Instalaciones accesibles municipales
